word,pos,level,desc
"character (INTERESTING QUALITIES)","noun","B2","qualities that are interesting or unusual"
"character (INTERESTING PERSON)","noun","C1","an interesting or funny person whose behaviour is different from most people's"
"character (PERSON)","noun","C2","a particular kind of person"
"character (WRITING)","noun","C1","a letter, sign, or number that you use when you are writing or printing"
"characteristic","noun","B2","a typical or noticeable quality of someone or something"
"characteristic","adjective","C2","typical of someone or something"
"charge (MONEY)","verb","B1","to ask an amount of money for something, especially a service or activity"
"charge (ACCUSE)","verb","B2","If the police charge someone, they accuse them officially of a crime."
"charge (ATTACK)","verb","B2","to attack someone or something by moving forward quickly"
"charge (ELECTRICITY)","verb","B2","to put electricity into something"
"charge (MONEY)","noun","B1","the amount of money that you have to pay for something, especially for an activity or service"
"be in charge","noun","B1","to be the person who has control of or is responsible for someone or something"
"take charge","noun","B2","to take control of or make yourself responsible for something"
"charge (CRIME)","noun","C1","a formal police statement saying that someone is accused of a crime"
"press charges","noun","C2","to complain officially about someone in a court of law"
"charisma","noun","C2","a natural power which some people have to influence or attract people"
"charismatic","adjective","C2","having a natural power to influence and attract people"
"charity (ORGANIZATION)","noun","B1","an official organization that gives money, food, or help to people who need it, or money, food, or help that is given to people who need it"
"charity (KINDNESS)","noun","C2","kindness towards other people"
"charm (QUALITY)","noun","B2","a quality which makes you like or feel attracted to someone or something"
"charm (LUCKY)","noun","C2","an object that you keep or wear because you believe that it is lucky"
"charm","verb","C2","to attract someone or persuade someone to do something because of your charm"
"charming","adjective","B1","pleasant and attractive"
"chart","noun","B2","a drawing which shows information in a simple way, often using lines and curves to show amounts"
"the charts","noun","B2","an official list of the most popular songs each week"
"chase (RUN AFTER)","verb","B2","to run after someone or something in order to catch them"
"chase sb/sth away/off/out, etc.","verb","B2","to run after a person or animal to make them leave a place"
"chase (TRY)","verb","C2","to try very hard to get something"
"chat (TALK)","verb","A2","to talk to someone in a friendly and informal way"
"chat (COMMUNICATE ONLINE)","verb","A2","to have a conversation with someone who is online at the same time as you are by typing messages"
"chat","noun","A2","a friendly, informal conversation"
"chat show","noun","B1","a television or radio programme where people are asked questions about themselves"
"chatty (PERSON)","adjective","C1","liking to talk"
"chatty (WRITING)","adjective","C1","A piece of writing that is chatty has a friendly and informal style."
"cheap (COSTING LITTLE)","adjective","A1","costing little money or less than is usual or expected"
"cheap (LOW QUALITY)","adjective","C1","low in price and quality"
"cheat","verb","B2","to behave in a dishonest way in order to get what you want"
"check (EXAMINE)","verb","A2","to examine something to make sure it is correct or the way it should be"
"check (FIND OUT)","verb","B1","to find out about something"
"check (ASK)","verb","B2","to ask someone for permission to do something"
"check","noun","B1","an examination of something in order to make certain that it is correct or the way it should be"
"check-in (desk)","noun","B1","the place at an airport where you show your ticket so that you can be told where you will be sitting"
"check-in (counter)","noun","B1","the place at an airport where you show your ticket so that you can be told where you will be sitting"
"checkout (SHOP)","noun","B1","the place in a shop, especially a large food shop, where you pay for your goods"
"checkout (WEBSITE)","noun","B1","the place on a website where you order and pay for goods"
"cheek","noun","B1","the soft part of your face which is below your eye and between your mouth and ear"
"cheeky","adjective","B2","slightly rude or showing no respect, but often in a funny way"
"cheer","verb","B2","to give a loud shout of approval or encouragement"
"cheer","noun","C2","a shout of approval or encouragement"
"cheerful (HAPPY)","adjective","B1","happy and positive"
"cheerful (MAKING YOU FEEL HAPPY)","adjective","B2","describes a place or thing that is bright and pleasant and makes you feel positive and happy"
"cheerfully","adverb","B2","in a cheerful way"
"cheerfulness","noun","C2","the state of being happy or bright and pleasant to look at"
"Cheers! (BEFORE DRINK)","exclamation","B1","a friendly expression said just before you drink an alcoholic drink"
"Cheers! (GOODBYE)","exclamation","B1","used to mean 'goodbye'"
"Cheers! (THANK YOU)","exclamation","B2","used to mean 'thank you'"
"cheese","noun","A1","a food made from milk, which can either be firm or soft and is usually yellow or white in colour"
"chef","noun","A2","a skilled and trained cook who works in a hotel or restaurant, especially the most important cook"
"chemical","noun","B2","a basic substance that is used in chemistry or produced by chemistry"
"chemical","adjective","B2","relating to chemicals"
"chemist (SHOP)","noun","A2","a shop where you can buy medicines, make-up and products used for washing yourself"
"chemist (SCIENCE)","noun","B1","a person who studies chemistry, or a scientist who works with chemicals or studies their reactions"
"chemistry","noun","A2","the scientific study of substances and the different ways in which they react or combine with other substances"
"cheque","noun","A2","a piece of paper printed by a bank that you use instead of money to pay for things"
"cherry","noun","B2","a small, round, soft red or black fruit with a single hard seed in the middle"
"chess","noun","A2","a game that two people play by moving differently shaped pieces around a board of black and white squares"
"chest (BODY)","noun","B2","the front part of your body, between your neck and your waist, containing your heart and your lungs"
"get sth off your chest","noun","C2","to tell someone about something that you have been worried or angry about for a long time"
"chest (BOX)","noun","C2","a strong, usually wooden, container with a lid, used for keeping things in"
"chest of drawers","noun","B1","a piece of furniture for keeping clothes in"
"chew (EAT)","verb","B2","to crush food into smaller, softer pieces with the teeth so that it can be swallowed"
"chew (BITE)","verb","B2","to repeatedly bite something without swallowing it"
"chewing gum","noun","B1","a sweet that you chew but do not swallow"
"chicken (BIRD)","noun","A2","a type of bird kept on a farm for its eggs or its meat"
"chicken (MEAT)","noun","A2","the meat of a chicken"
"chief (MOST IMPORTANT)","adjective","B2","most important or main"
"chief (HIGHEST IN RANK)","adjective","B2","highest in rank"
"chief","noun","B2","the person in charge of a group or organization"
"child","noun","A1","a boy or girl who is not yet an adult, or a son or daughter of any age"
"childhood","noun","B1","the time when someone is a child"
"childish (SILLY)","adjective","B2","Childish behaviour is silly, like that of a small child."
"childish (OF A CHILD)","adjective","B2","typical of a child"
"chill (COLD)","noun","C2","a cold feeling"
"chill (FEAR)","noun","C2","a sudden frightened feeling"
"chilli","noun","A2","a small, thin, red or green vegetable that is added to food in order to make it hot and spicy"
"chilly","adjective","C1","unpleasantly cold"
"chimney","noun","B2","a hollow structure that allows the smoke from a fire inside a building to escape to the air outside"
"chin","noun","B1","the bottom part of a person's face, below their mouth"
"chip (FRIED FOOD)","noun","A1","a long thin piece of potato that is cooked in oil"
"chip (COMPUTER PART)","noun","B2","a very small part of a computer that stores information"
"have a chip on your shoulder","noun","C2","to blame other people for something bad that has happened to you and continue to feel angry about it"
"chocolate","noun","A1","a sweet, usually brown, food that is prepared and sold in a block, or a small sweet made from this"
"hot chocolate","noun","A2","a sweet drink made with chocolate and hot milk"
"choice (RIGHT)","noun","B1","when you can choose between two or more things, or the decision to choose one thing or person and not someone or something else"
"choice (VARIETY)","noun","B1","the range of different things from which you can choose"
"choice (PERSON/THING)","noun","B1","a person or thing that has been chosen or that can be chosen"
"choir","noun","B2","a group of people who sing together, often in a church or a school"
"cholesterol","noun","C1","a type of fat in your body that can cause heart disease if you have too much"
"choose","verb","A1","to decide what you want from two or more things or possibilities"
"choose to do sth","verb","B1","to decide to do something"
"chop","verb","B2","to cut something into pieces with an axe, knife, or other sharp instrument"
"chore","noun","C1","a boring job that you must do"
"chronic","adjective","C2","A chronic illness or problem continues for a long time."
"church","noun","A2","a building for Christian religious activities"
"cigarette","noun","A2","a small paper tube filled with cut pieces of tobacco, which people smoke"
"cinema (BUILDING)","noun","A1","a building where you go to watch films"
"cinema (ART)","noun","C1","the art or business of making films"
"circle (SHAPE)","noun","A2","a continuous curved line, the points of which are always the same distance away from a fixed central point, or the area inside such a line"
"circle (GROUP)","noun","B2","a group of people with family, work or social connections"
"circle (DRAW)","verb","B1","to draw a circle around something"
"circle (MOVE)","verb","C2","to move in a circle, often around something"
"circuit (TRACK)","noun","C2","a path, route, or sports track that is shaped like a circle"
"circuit (ELECTRIC)","noun","C2","a complete circle that an electric current travels around"
"circuit (EVENTS)","noun","C2","a regular series of places or events that people involved in a particular activity go to"
"circular (SHAPE)","adjective","B2","shaped like a circle"
"circular (ARGUMENT)","adjective","C2","used to describe an argument which keeps returning to the same points and is not effective"
"circulation (BLOOD)","noun","C2","the movement of blood around your body"
"circulation (NEWSPAPERS)","noun","C2","the number of copies of a newspaper or magazine that are sold each day, week, etc."
"circumstance","noun","B2","a fact or event that makes a situation the way it is"
"circus","noun","B1","a show in which a group of people and animals perform in a large tent"
"citizen (TOWN/CITY)","noun","B2","someone who lives in a particular town or city"
"citizen (LEGAL RIGHT)","noun","B2","someone who has a legal right to live in a particular country"
"city","noun","A1","a large town"
"civil","adjective","C1","relating to the ordinary people or things in a country and not to military or religious organizations"
"civilian","noun","C2","someone who is not a member of a military organization or the police"
"civilization (SOCIETY)","noun","B2","human society with its well developed social organizations, or the culture and way of life of a society or country at a particular period in time"
"civilization (WAY OF LIFE)","noun","C1","when people have an advanced and comfortable way of life"
"claim (SAY)","verb","B2","to say that something is true or is a fact, although you cannot prove it and other people might not believe it"
"claim (DEMAND)","verb","B2","to ask for something because it belongs to you or you think you have the right to have it"
"claim credit/responsibility/success, etc.","verb","C2","to say that you have done or achieved something"
"claim (DEMAND)","noun","B2","a written request asking an organization to pay you a sum of money which you believe they owe you"
"claim (STATEMENT)","noun","C1","a statement that something is true or is a fact, although other people might not believe it"
"clap","verb","B1","to hit your hands together, often repeatedly, especially in order to show you enjoyed a performance"
"a clap of thunder","noun","C2","a sudden, loud sound that is made by thunder"
"clarification","noun","C1","an explanation which makes something clearer or easier to understand"
"clarify","verb","C1","to make something easier to understand by explaining it"
"clarity","noun","C2","the quality of being clear and easy to understand"
"clash (FIGHT)","verb","C2","to fight or argue"
"clash (COLOUR)","verb","C2","If colours or styles clash, they do not look good together."
"clash (EVENT)","verb","C2","If two events clash, they happen at the same time so that you cannot go to them both."
"clash (FIGHT)","noun","C2","a fight or argument"
"clash (DIFFERENCE)","noun","C2","when ideas or qualities are very different, and this causes problems"
"class (TEACHING GROUP)","noun","A1","a group of students who have lessons together"
"class (LESSON)","noun","A1","a period of time in which students are taught something"
"class (STANDARD)","noun","A2","a group into which goods, services or people are put according to their standard"
"class (ECONOMIC GROUP)","noun","B2","a group of people within society who have the same economic and social position"
"class sb/sth as sth","verb","C1","to put someone or something in a particular group according to their qualities"
"classic","adjective","B2","A classic book, film, etc. is one that has been popular for a long time and is considered to be of a high quality."
"classic","noun","B2","a piece of writing, a musical recording or a film which has been popular for a long time and is considered to be of a high quality"
"classical music","adjective","A2","music that is considered to be part of a formal European tradition, written by people like Mozart and Stravinsky"
"classical","adjective","C2","traditional in style"
"classification","noun","C2","the process of putting people or things into groups by their type, size, etc., or one of these groups"
"classify","verb","C1","to put people or things into groups by their type, size, etc."
"classmate","noun","A2","someone who is in your class at school or college"
"classroom","noun","A1","a room in a school or college where groups of students are taught"
"clause","noun","B2","a group of words containing a subject and a verb, that is usually only part of a sentence"
"clean (NOT DIRTY)","adjective","A1","not dirty"
"clean (NO CRIME)","adjective","C2","showing that you have not done anything illegal"
"clean","verb","A1","to remove dirt from something"
"cleaner","noun","A2","someone whose job is to clean houses, offices, public places, etc."
"the cleaner's","noun","C1","a shop where clothes are cleaned with chemicals"
"clear (EASY TO UNDERSTAND)","adjective","A2","easy to understand, hear, read or see"
"clear (TRANSPARENT)","adjective","A2","If something is clear, you can see through it."
"clear (WITHOUT CLOUDS)","adjective","B1","A clear sky does not have any clouds."
"clear (CERTAIN)","adjective","B1","certain or obvious"
"clear (NOT BLOCKED)","adjective","C1","not covered or blocked by anything"
"crystal clear","adjective","C1","extremely clear"
"crystal clear","adjective","C2","very easy to understand"
"clear","verb","B1","to remove all the objects or people from a place"
"clear the air","verb","C2","If an argument or discussion clears the air, people feel less angry or upset after it."
"in the clear","noun","C2","not in a difficult situation or having problems any more"
"steer clear of sb/sth","adverb","C2","to avoid someone or something because they are unpleasant or dangerous"
"clearly (EASY)","adverb","A2","in a way that is easy to see, hear, read or understand"
"clearly (NOT CONFUSED)","adverb","A2","in a way that is not confused"
"clearly (CERTAIN)","adverb","B1","used to show that you think something is obvious or certain"
"clever (ABLE TO LEARN)","adjective","A1","able to learn and understand things quickly and easily"
"clever (EFFECTIVE)","adjective","B1","effective and showing intelligence"
"cliché","noun","C2","something that is said or done too often, so that it becomes boring or without meaning"
"clichéd","adjective","C2","said or done too often and therefore boring or without real meaning"
"click (COMPUTER)","verb","A2","to press on part of a computer mouse to make the computer do something"
"click (IDEA)","verb","C2","to suddenly understand something"
"click (SOUND)","verb","C2","to make a short, sharp sound, or to use something to make this sound"
"click (PEOPLE)","verb","C2","If two people click, they like each other immediately."
"click","noun","A2","a press on part of a computer mouse"
"client","noun","B2","someone who pays someone else for services or advice"
"cliff","noun","B1","a high area of rock with a very steep side, often on a coast"
"climate (WEATHER)","noun","B1","the weather conditions that an area usually has"
"climate (SITUATION)","noun","C2","the situation, feelings, and opinions that exist at a particular time"
"climate change","noun","B2","the way the Earth's weather is changing"
"climb (PERSON)","verb","A2","to use your legs, or your legs and hands, to go up or onto the top of something"
"climb into/out of/through, etc.","verb","B2","to move into or out of a small space, often with difficulty or effort"
"climb (MOVE HIGHER)","verb","B2","to go up, or to go towards the top of something"
"climbing","noun","A2","the sport of climbing mountains, hills or rocks"
"cling","verb","C2","to hold someone or something tightly, especially because you are frightened"
"clinic","noun","B1","a building, often part of a hospital, where people go for medical treatment or advice"
"clinical (MEDICAL)","adjective","C1","relating to medical treatment and tests"
"clinical (NO EMOTION)","adjective","C2","only considering facts and not influenced by feelings or emotions"
"clock","noun","A1","a piece of equipment that shows you what time it is, usually in a house or on a building and not worn by a person"
"around/round the clock","noun","C1","all day and all night"
"close (DOOR/WINDOW)","verb","A1","If something closes, it moves so that it is not open, and if you close something, you make it move so that it is not open."
"close (PUBLIC PLACE)","verb","A2","When a shop, restaurant or public place closes, people cannot go into it."
"close (STOP OPERATING)","verb","B2","If a business or organization closes, or if someone or something closes it, it stops operating."
"close (END)","verb","C2","to end, or to end something"
"close (NEAR)","adjective","A1","near in distance, position or time"
"close (FRIENDLY)","adjective","A2","describes people who know each other very well and like each other a lot, or who see and talk to each other a lot"
"close (RELATIVE)","adjective","B1","A close relative is someone who is directly related to you, for example, your mother, father or brother."
"close (SIMILAR)","adjective","C1","having only a small difference"
"close (RELATIONSHIP)","adjective","B2","seeing or communicating with someone a lot"
"close (CAREFUL)","adjective","C2","looking at or listening to someone or something very carefully"
"be/come close to doing sth","adjective","C1","to almost achieve or do something"
"be close to sth","adjective","C1","If someone or something is close to a particular state, they are almost in that state."
"close","adv","B1","near in distance"
"closed (NOT OPEN)","adjective","A1","not open"
"closed (BUSINESS/SHOP)","adjective","A1","not open for business"
"closed (NOT ACCEPTING IDEAS)","adjective","C2","not wanting to accept new ideas, people, customs, etc."
"behind closed doors","adjective","C2","privately and not in public"
"closely (CONNECTED)","adverb","B2","in a way that is directly connected or has a strong relationship"
"closely (VERY NEAR)","adverb","C1","in a way that is very near in distance, time, or position"
"closely (CAREFULLY)","adverb","C1","carefully and paying attention to details"
"closeness (NEAR)","noun","C1","the state of being close in distance, time, or position"
"closeness (RELATIONSHIP)","noun","C1","the quality of knowing someone very well and liking them a lot"
"closure","noun","C2","when a business, organization, etc. stops operating"
"cloth (MATERIAL)","noun","B2","material made from cotton, wool, etc. and used, for example, to make clothes or curtains"
"cloth (FOR CLEANING)","noun","B2","a small piece of material used for cleaning or drying things"
"clothes","noun","A1","items such as shirts, dresses and trousers that you wear on your body"
"clothing","noun","B2","clothes, especially of a particular type"
"cloud (WATER)","noun","A2","a white or grey mass in the sky, made of very small drops of water"
"cloud (SMOKE/DUST)","noun","B2","a mass of something such as dust or smoke that looks like a cloud"
"be on cloud nine","noun","C2","to be extremely happy and excited"
"cloud","verb","C2","to make someone confused, or make something harder to understand"
"cloudy","adjective","A2","When it is cloudy, there are clouds in the sky."
"clown","noun","A2","a performer who has special clothes and a painted face and makes people laugh"
"club (GROUP)","noun","A2","an organization for people who want to take part in a sport or social activity together, or the building they use for this"
"club (TEAM)","noun","B1","a team of sports players"
"club (DANCE)","noun","B1","a place open late at night where people can dance"
"clue","noun","B2","a sign or some information that helps you to solve a problem or answer a question"
"not have a clue","noun","B2","to be completely unable to guess, understand, or deal with something"
"clumsiness","noun","C2","the quality of being clumsy"
"clumsy","adjective","B2","Clumsy people move in a way that is not controlled or careful enough, and often knock or damage things."
"clutch","verb","C2","to hold something tightly"
"clutch","noun","C1","the part of a car or truck that you press with your foot when you change gear"
"sb's/sth's clutches","noun","C2","If you are in someone or something's clutches, they control you, often in an evil way."
"coach (VEHICLE)","noun","A2","a comfortable bus used to take groups of people on journeys"
"coach (PERSON)","noun","B1","someone whose job is to teach people to improve at a sport, skill, or school subject"
"coach","verb","B2","to teach someone so they improve at a sport, skill, or in a school subject"
"coaching","noun","B2","additional teaching of a sport, a skill or a school subject"
"coal","noun","C1","a hard, black substance that is dug from under the ground and burnt as fuel"
"coast","noun","B1","the land next to or close to the sea"
"coastal","adjective","B2","situated on, or relating to the coast"
"coastline","noun","C2","the part of the land along the edge of the sea"
"coat","noun","A1","an outer piece of clothing with sleeves which is worn over other clothes, usually for warmth"
"coconut","noun","B1","a very large nut with a hard, hairy shell, a white part that you eat, and liquid in the centre"
"cod","noun","B1","a large sea fish that can be eaten"
"code (SECRET MESSAGE)","noun","B2","a system of words, letters or signs which is used to represent a message in secret form"
"code (RULES)","noun","C1","a set of rules on how to behave or how to do things"
"coffee","noun","A1","a popular hot drink with a strong smell that is made from dark beans, or the beans or crushed beans from which this drink is made"
"coherence (CLEAR)","noun","C2","the state of being clear and easy to understand"
"coherence (SHARED BELIEFS/PURPOSE)","noun","C2","the feeling that you share the beliefs or purpose of others in a group"
"coherent (CAREFUL THOUGHT)","adjective","C2","A coherent argument, plan, etc. is clear, and each part of it has been carefully considered."
"coherent (UNDERSTAND)","adjective","C2","If someone is coherent, you can understand what they say."
"coin","noun","B1","a small, flat, usually round piece of metal used as money"
"coin","verb","C2","to be the first person who uses a new word or phrase"
"coincide (HAPPEN TOGETHER)","verb","C2","to happen at the same time as something else"
"coincide (BE THE SAME)","verb","C2","When people's opinions or ideas coincide, they are the same."
"coincidence","noun","B2","when two very similar things happen at the same time but there is no reason for it"
"cola","noun","A2","a sweet, dark-brown drink with a lot of bubbles"
"cold (TEMPERATURE)","adjective","A1","having a low temperature"
"cold (UNFRIENDLY)","adjective","B1","unfriendly or showing no emotion"
"in cold blood","adjective","C2","in a cruel way, without showing any emotion"
"cold","noun","A2","a common illness which makes you sneeze and makes your nose produce liquid"
"the cold","noun","B1","cold weather or temperatures"
"make your blood run cold","noun","C2","If something makes your blood run cold, it frightens you very much."
"coldness (TEMPERATURE)","noun","C2","the state of having a low temperature"
"coldness (CHARACTER)","noun","C2","when someone is unfriendly or does not show their feelings"
"collaborate","verb","C1","When two or more people collaborate, they work together to create or achieve the same thing."
"collaboration","noun","C1","when two or more people work together to create or achieve the same thing, or a product of this"
"collapse (OBJECT)","verb","B2","to fall down suddenly because of pressure or having no strength or support"
"collapse (PERSON)","verb","B2","If someone collapses, they fall down, usually because they are ill or weak."
"collapse (FAIL)","verb","C2","to fail to work or succeed"
"collapse","noun","B2","the sudden failure of a system, organization, business, etc."
"collar (PART OF CLOTHES)","noun","B1","the part of a shirt, coat, etc. that is usually folded over and goes round your neck"
"collar (ON AN ANIMAL)","noun","B2","a strap made of leather or other strong material which is put around the neck of an animal, especially a dog or cat"
"colleague","noun","A2","someone that you work with"
"collect (KEEP)","verb","A2","to get and keep things of one type such as stamps or coins as a hobby"
"collect (GO TO GET)","verb","A2","to go to a place and bring someone or something away from it"
"collect (BRING TOGETHER)","verb","B1","to get things from different places and bring them together"
"collect (MONEY)","verb","B2","to ask people to give you money for something, for example a charity"
"collect yourself/your thoughts","verb","C2","to get control over your feelings and thoughts"
"collection (OBJECTS)","noun","B1","a group of objects of one type that have been collected by one person or in one place"
"collection (TAKING AWAY)","noun","B2","when something is taken away from a place"
"collection (GROUP)","noun","B1","a group of things or people"
"collector","noun","B2","someone who collects objects because they are interesting or beautiful"
"college","noun","A2","a place where students are educated when they are between 16 and 18 years old, or after they have finished school"
"collocation","noun","B2","a word or phrase that sounds natural or correct when it is used with another word or phrase, or the combination formed when two or more words are frequently used together in a way that sounds natural"
"colon","noun","B2","a mark (:) used before a list, an example, an explanation, etc."
"colour (RED/BLUE, ETC.)","noun","A1","red, blue, green, yellow, etc."
"colour (INTEREST)","noun","C2","interesting or exciting qualities or parts"
"with flying colours","noun","C1","with a very high score or with great success"
"colour (SKIN)","noun","C2","the colour of a person's skin, which shows their race"
"colour","verb","A1","to make something a particular colour"
"colour (AFFECT)","verb","C2","to affect what someone does, says, or feels"
"colourful (BRIGHT)","adjective","B1","having bright colours"
"colourful (UNUSUAL)","adjective","B2","interesting and unusual"
"column (PRINTING)","noun","B2","one of the blocks of print into which a page of a newspaper, magazine, or dictionary is divided"
"column (BUILDING)","noun","B2","a tall, solid, usually stone post which is often used to support a roof or as decoration in a building"
"column (NUMBERS/WORDS)","noun","C1","any block of numbers or words written one under the other"
"comb","noun","A2","a flat piece of plastic, wood or metal with a thin row of long narrow parts along one side, which you use to tidy and arrange your hair"
"comb","verb","B1","to tidy your hair using a comb"
"combat","noun","C2","a fight, especially during a war"
"combat","verb","C2","to try to stop something unpleasant or harmful from happening or increasing"
"combination","noun","B2","the mixture you get when two or more things are combined"
"combine","verb","B2","to become mixed or joined, or to mix or join things together"
"come (MOVE TO SPEAKER)","verb","A1","to move or travel towards a person who is speaking or the place that they are speaking about"
"come (GO WITH SOMEONE)","verb","A1","to go somewhere with the person who is speaking"
"come (ARRIVE)","verb","A1","to arrive somewhere"
"come (BE AVAILABLE)","verb","A2","to be available to buy in a particular colour, size, etc."
"come after/first/last, etc.","verb","B1","to have or achieve a particular position in a race, competition, list, etc."
"come true","verb","B1","If a dream or hope comes true, it really happens."
"come (HAPPEN)","verb","B2","to happen"
"come easily/easy/naturally","verb","C1","to be very easy for someone"
"come first","verb","C1","to be the most important person or thing"
"come to mind","verb","C1","If an idea comes to mind, you think of it."
"come to think of it","verb","C2","used to say that you have just thought of something"
"come to do sth","verb","C2","to start to do something or to reach a state after a period of time"
"come apart/off, etc.","verb","C2","to become separated or removed from something"
"when it comes to sth/doing sth","verb","C1","used to introduce a new idea that you want to say something about"
"how come","verb","C1","used to ask why or how something has happened"
"come into being","verb","C2","to start to exist"
"come to light","verb","C2","If information about something bad comes to light, it is discovered."
"come under fire","verb","C2","to be criticized"
"come to the/sb's rescue","verb","C2","to help someone who is in a difficult situation"
"take sth as it comes","verb","C2","to deal with something as it happens, without planning for it"
"come to terms with sth","verb","C2","to accept a sad situation"
"comeback","noun","C2","a successful attempt to become powerful, important, or famous again"
"comedian","noun","B2","someone who entertains people by telling jokes"
"comedy","noun","B1","entertainment such as a film, play, etc. which is funny"
"comfort (NO PAIN)","noun","B2","a pleasant feeling of being relaxed and free from pain"
"comfort (ENOUGH MONEY)","noun","C2","when you have a pleasant life with enough money for everything that you need"
"comfort (PLEASANT THING)","noun","C1","something that makes your life easy and pleasant"
"comfort (FOR SADNESS)","noun","C2","when you feel better after being worried or sad"
"comfort","verb","C2","to make someone feel better when they are anxious or sad"
"comfortable (CLOTHES/FURNITURE)","adjective","A2","describes furniture, clothes, etc. that provide a pleasant feeling and that do not give you any pain"
"comfortable (PERSON)","adjective","B1","relaxed and free from pain"
"comfortable (WITHOUT WORRIES)","adjective","B2","If you are comfortable in a situation, you do not have any worries about it."
"comfortable (MONEY)","adjective","C2","having enough money for everything that you need"
"comfortably","adverb","B2","in a comfortable way"
"comforting","adjective","C2","making you feel better when you are anxious or sad"
"comic","noun","A2","a magazine with stories told in pictures"
"comic","adjective","B1","funny"
"comma","noun","B1","a mark (,) used to separate parts of a sentence, or to separate the items in a list"
"command (ORDER)","noun","B2","an order to do something, especially one given by a soldier"
"command (KNOWLEDGE)","noun","B2","knowledge of a subject, especially a language"
"command (COMPUTER)","noun","C1","an instruction to a computer"
"command (CONTROL)","noun","C2","control over someone or something and responsibility for them"
"commander","noun","C2","an officer who is in charge of a military operation, or an officer of middle rank in the navy"
"commemorate","verb","C2","to do something to show you remember an important person or event in the past with respect"
"commence","verb","C2","to begin something"
"comment","noun","B1","something that you say or write that expresses your opinion"
"No comment.","noun","C2","used to say that you do not want to answer someone's question"
"comment","verb","B2","to make a comment"
"commerce","noun","B2","the activities involved in buying and selling things"
"commercial","noun","B2","an advertisement on the radio, on television, etc."
"commercial (BUYING AND SELLING)","adjective","B2","related to buying and selling things"
"commercial (FOR PROFIT)","adjective","C2","making money from advertising"
"commit (DO)","verb","B2","to do something that is considered wrong, or that is illegal"
"commit (DECISION)","verb","C2","to make a firm decision that you will do something"
"commitment (LOYALTY)","noun","B2","when you are willing to give your time and energy to something that you believe in, or a promise or firm decision to do something"
"commitment (ACTIVITY)","noun","B2","something that you must do or deal with that takes your time"
"committed","adjective","C2","loyal and willing to give your time and energy to something that you believe in"
"committee","noun","B2","a small group of people chosen to represent a larger organization and either make decisions or collect information for it"
"commodity","noun","C1","a product that you can buy or sell"
"common (USUAL)","adjective","B1","happening often or existing in large numbers"
"common (SHARED)","adjective","B1","belonging to or shared by two or more people or things"
"common knowledge","adjective","B2","something that a lot of people know"
"common (ORDINARY)","adjective","C1","not special in any way"
"find common ground","adjective","C2","to find shared beliefs, interests or ideas"
"have sth in common","noun","B1","to share, interests, experiences, or other characteristics with someone or something"
"in common with sb/sth","noun","C1","in the same way as someone or something"
"commonly","adverb","C1","often or usually"
"common sense","noun","B1","the natural ability to be practical and to make good decisions"
"communicate (SHARE INFORMATION)","verb","B1","to share information with others by speaking, writing, moving your body or using other signals"
"communicate (BE UNDERSTOOD)","verb","B2","to be understood by someone when you tell them about your feelings and thoughts"
"communication","noun","B1","the act of communicating with people"
"communicative","adjective","B2","open and willing to talk to people"
"community (IN ONE AREA)","noun","B2","the people living in one particular area"
"community (GROUP OF PEOPLE)","noun","B2","a group of people with the same interests, way of life, nationality, job, etc."
"commute","verb","C1","to regularly travel between work and home"
"companion","noun","B2","someone you spend a lot of time with or go somewhere with"
"company (BUSINESS)","noun","A2","an organization which sells goods or services in order to make money"
"company (OTHER PEOPLE)","noun","B2","when you are with a person or people, or the person or people you are with"
"keep sb company","noun","B2","to stay with someone so that they are not alone"
"be good company","noun","C1","to be a pleasant or interesting person to spend time with"
"comparable","adjective","C1","similar in size, amount, or quality to something else"
"comparative","noun","A2","the form of an adjective or adverb that expresses a difference in amount, in number, in degree or quality"
"comparative comfort/freedom/silence, etc.","adjective","C2","a situation which is comfortable/free/silent, etc. when compared to another situation or to what is usual"
"comparative","adjective","C1","comparing similar things"
"comparatively cheap/easy/little, etc.","adverb","C1","cheap/easy/little, etc. when compared to something else or to what is usual"
"compare","verb","B1","to examine the ways in which two people or things are different"
"compared to/with sb/sth","verb","B2","used when saying how one person or thing is different from another"
"compare notes","verb","C1","If two people compare notes, they tell each other what they think about something that they have both done."
"comparison","noun","B2","when two or more people or things are compared"
"compatible (EQUIPMENT)","adjective","C1","compatible equipment can be used together"
"compatible (PEOPLE)","adjective","C2","If people are compatible, they like each other and are happy to spend time together."
"compatible (IDEAS)","adjective","C2","compatible ideas or situations can exist together"
"feel compelled to do sth","verb","C1","to feel that you should do something"
"compensate (MONEY)","verb","C1","to pay someone money because you are responsible for injuring them or damaging something"
"compensate (MAKE BETTER)","verb","C2","to reduce the bad effect of something, or make something bad become something good"
"compete (SPORT)","verb","B1","to take part in a race or competition"
"compete (SUCCESS)","verb","B2","to try to be more successful than someone or something else"
"competence","noun","C1","the ability to do something well"
"competent","adjective","C1","able to do something well"
"competition (EVENT)","noun","A2","an organized event in which people try to win a prize by being the best, fastest, etc."
"competition (BUSINESS/JOBS)","noun","B2","when someone, or a company, is trying to win something or be more successful than someone else"
"competitive (SITUATION)","adjective","B2","involving competition"
"competitive (PERSON)","adjective","B2","wanting very much to win or be more successful than other people"
"competitive (PRICES/SERVICES)","adjective","B2","as good as or better than other prices, services, etc."
